name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"RISC Zero","","https://icodrops.com/media/cache/a8/79/a8797959ed92fb3a1523aae7cda03a8e.webp","https://icodrops.com/risc-zero/","Retrodrop","$54 M","—","Infrastructure","Active","","Bain Capital Ventures","Blockchain Capital","Delphi Digital (Delphi Labs)","More Details","","","",""
"Shrapnel","SHARP","https://icodrops.com/media/cache/b5/0a/b50aec1ceb106f78e38f4d2632d22234.webp","https://icodrops.com/shrapnel/","Airdrop for NFT Holders","$57.6 M","$4.32 M","Gaming","Active","","Brevan Howard","Polychain Capital","Dragonfly Capital","More Details","Ethereum","Avalanche","",""
"Base","","https://icodrops.com/media/cache/4e/5f/4e5fcab6f04a53563db4f2729064e2b7.webp","https://icodrops.com/base/","Retrodrop","—","—","Layer-2","Active","","Base","","","","","","",""
"Futureverse","","https://icodrops.com/media/cache/de/4f/de4fdf7f288597cc358d4f4620498bb3.webp","https://icodrops.com/futureverse/","Airdrop","$54 M","—","Metaverse","Active","","Animoca Brands","10T Holdings","Ripple","","","","",""
"Morpho","MORPHO","https://icodrops.com/media/cache/a0/13/a0136527c1d8e105cbdc632b8bc514b9.webp","https://icodrops.com/morpho/","Points Farming","$69.35 M","$1.95 B","Lending Platform","Active","","Andreessen Horowitz (a16z)","Brevan Howard","Pantera Capital","More Details","","","",""
"Shardeum","SHM","https://icodrops.com/media/cache/98/d0/98d07e41125312bd1759c9ae38d6a25c.webp","https://icodrops.com/shardeum/","Testnet Airdrop","$31.72 M","$5.31 M","Infrastructure","Active","","Balaji Srinivasan","Amber Group","CoinGecko Ventures","More Details","","","",""
"Dune Analytics","","https://icodrops.com/media/cache/1d/a8/1da829364aaa9f9f63ed89a291e342d2.webp","https://icodrops.com/dune-analytics/","Retrodrop","$79.42 M","—","Blockchain Service","Active","","Multicoin Capital","Union Square Ventures","Coinbase Ventures","More Details","","","",""
"Alongside","AMKT","https://icodrops.com/media/cache/63/1e/631eacc185f87c885cf64bd07e5e4aa0.webp","https://icodrops.com/alongside/","Early users Airdrop","$11 M","$724.13 K","Index","Active","","Andreessen Horowitz (a16z)","Coinbase Ventures","Franklin Templeton","More Details","","","",""
"Gyroscope","GYD","https://icodrops.com/media/cache/27/3b/273b390532060b7cf88c604b3c06cfa1.webp","https://icodrops.com/gyroscope/","Retrodrop","$4.5 M","—","Stablecoin Issuer","Active","","Fernando Martinelli","Galaxy","Archetype","More Details","","","",""
"Lens Protocol","","https://icodrops.com/media/cache/0a/da/0adae56e8f8d1a3b4d934def27c32a58.webp","https://icodrops.com/lens-protocol/","Retrodrop","$46 M","—","Blockchain Service","Active","","Balaji Srinivasan","Blockchain Capital","Delphi Digital (Delphi Labs)","More Details","Polygon (prev. Matic Network)","","",""
