name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"Bonfida","FIDA","https://icodrops.com/bonfida/","$0.01844","-4.53%","$1.15 M","$18.27 M","$18.27 M","0.1","0.18x","$5.7 M","Dec 23, 2020","CMS Holdings","CMT Digital","Divergence Ventures","More Details"
"Frax","","https://icodrops.com/frax/","$0.9906","-0.02%","$209.12 K","$273.61 M","$217.26 M","—","0.99x","$1.21 M","Dec 21, 2020","Arbitrum Foundation","","",""
"Marlin","POND","https://icodrops.com/marlin/","$0.0008868","13.22%","$4.69 M","$8.51 M","$7.3 M","0.0017","0.51x","$3 M","Dec 21, 2020","YZi Labs (prev Binance Labs)","Electric Capital","Arrington Capital","More Details"
"UNION Finance","UNN","https://icodrops.com/union-finance/","$0.0002691","-1.99%","$46.54","$268.5 K","$249.17 K","0.025","0.01x","$4.28 M","Dec 18, 2020","Rarestone Capital","Spark Digital Capital","3Commas","More Details"
"Lido DAO","LDO","https://icodrops.com/lido-dao/","$0.3514","-2.84%","$30.73 M","$297.2 M","$293.12 M","0.73","0.48x","$145 M","Dec 18, 2020","Andreessen Horowitz (a16z)","Delphi Digital (Delphi Labs)","Jump Trading","More Details"
"MahaDAO","MAHA","https://icodrops.com/mahadao/","$0.2741","-24.58%","$18.34","$3.63 M","$1.2 M","0.6","0.46x","$1 M","Dec 17, 2020","AU21 Capital","GBV Capital","Magnus Capital","More Details"
"The Graph","GRT","https://icodrops.com/the-graph/","$0.01622","-2.51%","$17.2 M","$153.41 M","$177.47 M","0.03","0.54x","$279.7 M","Dec 17, 2020","Framework Ventures","Multicoin Capital","Coinbase Ventures","More Details"
"SpiderDAO","SPDR","https://icodrops.com/spiderdao/","$0.00000984","1.02%","$37.22","$9.65 K","$2.28 K","0.03","0.01x","$2.1 M","Dec 15, 2020","Moonrock Capital","Vendetta Capital","x21 Digital","More Details"
"Hub Token","Hub","https://icodrops.com/hub-token/","$0.000089","","$0.01","$94.27 K","—","—","0.01x","$20 M","Dec 11, 2020","","","",""
"MobileCoin","MOB","https://icodrops.com/mobilecoin/","$0.07917","1.74%","$4.14 K","$19.4 M","$15.71 M","0.8","0.1x","$107.4 M","Dec 7, 2020","YZi Labs (prev Binance Labs)","Multicoin Capital","Strobe (Prev. BlockTower Capital)","More Details"
"Efforce","WOZX","https://icodrops.com/efforce/","$0.003793","-2.47%","$432.59","$3.87 M","$2 M","0.1","0.04x","$45 M","Dec 7, 2020","HTX Ventures (previously Huobi Ventures)","","",""
"DIGITALAX","MONA","https://icodrops.com/digitalax/","$14.97","-1.79%","$734.26","$402.62 K","$156.53 K","0.05","299.4x","—","Dec 6, 2020","","","",""
"Monavale","MONA","https://icodrops.com/monavale/","$14.97","-1.79%","$734.26","$372.45 K","$156.53 K","—","—","$100 K","Dec 6, 2020","Rarible Protocol","","",""
"Mirror","","https://icodrops.com/mirror/","$0.001447","-21.98%","$4.73 K","$536.22 K","$112.49 K","—","0.01x","—","Dec 4, 2020","","","",""
"Badger DAO","BADGER","https://icodrops.com/badger-dao/","$0.369","0.50%","$922.27 K","$7.3 M","$7.2 M","2.85","0.13x","$21 M","Dec 4, 2020","Blockchain Capital","Polychain Capital","0xb1","More Details"
"Hard Protocol","HARD","https://icodrops.com/hard-protocol/","$0.1928","-79.42%","$525.32 K","$38.56 M","$15.06 M","—","0.09x","—","Dec 3, 2020","","","",""
